Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
10438,0.91,Very Good,H,VS2,59.9,62.0,6.26,6.33,3.77,4201
3540,1.01,Very Good,F,SI2,63.5,56.0,6.38,6.35,4.04,3897
25293,0.54,Premium,D,SI1,60.0,58.0,5.3,5.26,3.17,1667
8378,0.33,Ideal,G,VVS1,60.4,58.0,4.5,4.51,2.72,802
17681,0.32,Ideal,F,VS2,61.9,56.0,4.44,4.41,2.74,828
2679,0.44,Very Good,G,VVS2,60.9,57.0,4.89,4.93,2.99,1081
10923,0.32,Ideal,G,VVS1,61.4,55.0,4.44,4.42,2.72,1080
6370,0.9,Good,F,SI2,64.2,62.0,6.08,6.0,3.88,2964
61,0.51,Ideal,F,VVS2,62.6,57.0,5.13,5.1,3.2,2203
20977,2.04,Very Good,J,SI2,63.4,55.0,8.07,8.04,5.11,9482
7573,1.51,Very Good,I,IF,62.2,62.0,7.3,7.33,4.55,12291
23212,0.31,Ideal,D,SI2,61.3,56.0,4.36,4.41,2.69,462
4934,1.01,Ideal,G,SI1,62.2,55.0,6.44,6.46,4.01,5166
696,1.07,Premium,D,SI1,63.0,57.0,6.57,6.47,4.11,6124
10770,0.72,Very Good,F,VS2,63.3,57.0,5.69,5.72,3.61,2931
5068,0.79,Fair,G,SI1,65.3,76.0,5.52,5.13,3.35,2362
720,1.52,Premium,G,VS1,62.4,58.0,7.37,7.3,4.58,13034
17705,0.71,Premium,F,SI2,62.3,60.0,5.7,5.67,3.54,2169
26202,0.31,Very Good,G,VVS1,62.6,61.0,4.28,4.31,2.69,816
494,1.43,Fair,I,VS1,50.8,60.0,7.73,7.25,3.93,6727
9544,0.74,Ideal,G,VS1,60.9,55.0,5.84,5.91,3.58,3635
3814,0.3,Ideal,D,VS2,61.8,55.0,4.32,4.35,2.68,606
10328,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,731
21040,1.5,Premium,G,VS2,60.5,59.0,7.39,7.35,4.46,13112
11618,0.28,Very Good,G,VVS2,61.4,55.0,4.21,4.24,2.59,522
11384,1.01,Good,E,VVS2,63.9,58.0,6.31,6.37,4.05,8415
8174,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4588
22409,0.73,Premium,H,VS2,61.0,58.0,5.84,5.76,3.54,2519
12076,0.36,Premium,F,SI1,61.9,59.0,4.54,4.51,2.8,770
11625,1.03,Ideal,F,VVS1,62.1,56.3,6.43,6.5,4.02,10619
1480,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,2797
7805,0.72,Very Good,G,VS1,63.5,55.0,5.75,5.68,3.63,2422
15278,1.7,Very Good,H,VS1,62.8,57.0,7.47,7.57,4.72,14137
5663,1.2,Premium,H,VVS2,60.0,60.0,6.86,6.78,4.09,5174
3598,0.37,Ideal,F,VS1,61.7,56.0,4.61,4.63,2.85,811
14344,0.72,Ideal,F,SI1,61.5,56.0,5.72,5.79,3.54,2870
21009,0.31,Ideal,D,VS2,60.7,57.0,4.37,4.4,2.66,803
7439,0.32,Ideal,I,VVS2,62.0,54.9,4.36,4.39,2.71,567
4853,0.77,Good,E,VS2,63.4,57.0,5.8,5.84,3.69,3291
5697,0.74,Ideal,J,VS1,61.7,57.0,5.79,5.84,3.59,2468
13685,0.3,Ideal,D,VS2,62.6,56.0,4.28,4.31,2.69,710
13636,0.41,Ideal,E,VVS2,61.0,56.0,4.79,4.82,2.93,1187
4378,0.43,Ideal,I,VS2,61.8,55.0,4.85,4.89,3.01,716
16963,0.7,Ideal,H,VS1,61.2,55.0,5.71,5.76,3.51,3185
25978,0.4,Ideal,E,VS2,62.2,55.0,4.71,4.77,2.95,1090
26917,0.5,Premium,H,SI1,60.2,61.0,5.16,5.14,3.1,1141
11381,0.7,Premium,F,SI2,59.6,58.0,5.79,5.72,3.43,2234
658,0.6,Ideal,D,VS2,61.5,55.0,5.42,5.45,3.34,2325
13813,0.51,Very Good,F,VS2,63.1,57.0,5.1,5.08,3.21,1574
2878,1.01,Very Good,I,VS2,61.3,56.0,6.53,6.45,3.98,4438
19006,0.53,Very Good,E,IF,59.8,60.0,5.28,5.35,3.18,2542
9524,1.01,Fair,D,SI1,64.7,57.0,6.33,6.25,4.07,5430
4618,0.41,Premium,D,VVS2,61.2,62.0,4.82,4.78,2.94,1356
6729,0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,1662
11468,0.7,Very Good,E,SI2,,59.0,5.7,5.74,3.52,2464
2851,0.96,Very Good,G,SI2,63.1,56.0,6.29,6.22,3.95,3951
964,0.33,Premium,G,SI1,62.3,59.0,4.44,4.39,2.75,631
17327,0.3,Ideal,F,VS2,62.3,57.0,4.33,4.3,2.69,776
22712,1.01,Premium,H,SI2,,60.0,6.39,6.25,3.92,3507
8558,1.0,Very Good,D,SI2,62.3,56.0,6.33,6.39,3.96,4348
18424,0.39,Ideal,H,IF,61.9,55.6,4.68,4.7,2.91,1039
19500,0.55,Ideal,D,VVS2,60.8,56.0,5.31,5.34,3.24,3468
22998,0.72,Ideal,E,SI1,59.8,57.0,5.86,5.91,3.52,2265
11614,1.0,Premium,H,VS1,59.1,60.0,6.45,6.42,3.8,4732
3430,0.37,Ideal,J,SI1,61.4,57.0,4.62,4.66,2.85,469
